,filter,size,lr,sdr_mix,sdr,sir,sar,snr,MSE ANC
0,rls,4,0.1,0.4953484988530734,6.770158035865041,23.53264123315522,6.920360979869986,-0.0008500000000000001,0.0008626583598408045
1,rls,4,0.01,0.4953484988530734,13.611070403213862,23.303047434297504,14.173704504637769,-0.0009,0.00014871998379627864
2,rls,4,0.001,0.4953484988530734,15.698183800989911,24.251776480554703,16.381698526225,-0.00015000000000000001,9.076176759074717e-05
3,rls,4,0.0001,0.4953484988530734,15.825614033131766,24.248775613827405,16.534984495957776,-0.0001,8.748536016426834e-05
4,rls,4,1e-05,0.4953484988530734,15.818740993442102,24.184163437254334,16.542677855430767,-0.0001,8.736109251485151e-05
5,rls,16,0.1,0.4953484988530734,6.849745720989009,22.785814351231554,7.075730641939281,-0.00655,0.0009810191889603932
6,rls,16,0.01,0.4953484988530734,14.02828674791547,22.041251991860676,14.909544667537697,-0.0019,0.00013321026721421411
7,rls,16,0.001,0.4953484988530734,15.580241449516969,23.740153112603362,16.32994145284728,-0.00019999999999999998,9.301683189822178e-05
8,rls,16,0.0001,0.4953484988530734,15.735293663196797,24.020479896068743,16.464680099411193,-0.0001,8.916428276136809e-05
9,rls,16,1e-05,0.4953484988530734,15.781723252446785,24.081969918909465,16.508270592081427,-0.0001,8.804623548891029e-05
10,rls,64,0.1,0.4953484988530734,9.018022724222789,22.1800898436673,9.413160619007456,0.0001,0.0007901780745562386
11,rls,64,0.01,0.4953484988530734,14.741964175349292,23.774074776459585,15.34820266800793,0.00015000000000000001,0.00011758490958634546
12,rls,64,0.001,0.4953484988530734,15.196215728188797,22.777353864158982,16.064467043723905,-0.0001,0.00010042714648971372
13,rls,64,0.0001,0.4953484988530734,15.593269781533891,22.975202150092557,16.510023387251945,-0.0001,9.137820087227167e-05
14,rls,64,1e-05,0.4953484988530734,15.637054872150944,22.863991428871643,16.600464825029572,-0.0001,9.059204774744371e-05
15,rls,128,0.1,0.4953484988530734,10.677367205793633,25.957163450558575,10.83162521805722,0.001,0.0007033039249625861
16,rls,128,0.01,0.4953484988530734,14.960576273513034,24.890466952545033,15.447076877675189,0.0,0.0001149426451792904
17,rls,128,0.001,0.4953484988530734,15.059754902857586,22.55442076417731,15.945737883708011,-0.0001,0.00010357926435330335
18,rls,128,0.0001,0.4953484988530734,15.526865283294576,22.75564714887213,16.492905195093016,-0.0001,9.264583315919427e-05
19,rls,128,1e-05,0.4953484988530734,15.548546673493782,22.454536497163765,16.616516699725395,-0.0001,9.206831455230713e-05
20,lms,4,0.1,0.4953484988530734,15.61615393206166,24.210995617540508,16.29635176929958,0.0001,9.245647884467069e-05
21,lms,4,0.01,0.4953484988530734,15.798957016768936,24.247624887898233,16.502785641864115,-0.0001,8.795147798224992e-05
22,lms,4,0.001,0.4953484988530734,15.913991089954273,24.392983939901114,16.611163576010686,-0.0001,8.519975212859172e-05
23,lms,4,0.0001,0.4953484988530734,16.011454262688737,24.447157069241005,16.720838071508275,-0.0001,8.305597904266096e-05
24,lms,4,1e-05,0.4953484988530734,16.027196085764476,24.447361115533504,16.74030423335293,-0.0001,8.26833221842261e-05
25,lms,16,0.1,0.4953484988530734,14.974418468518635,24.285763352410896,15.55679952561409,-0.0009,0.00010926195365541121
26,lms,16,0.01,0.4953484988530734,15.722925207294596,24.125344001478187,16.43099998944802,-0.00015000000000000001,8.979600799434326e-05
27,lms,16,0.001,0.4953484988530734,15.851648168077503,24.34480945703406,16.545520915032768,-0.0001,8.659059656601326e-05
28,lms,16,0.0001,0.4953484988530734,16.001950257433556,24.451287644982475,16.708418904485644,-0.0001,8.327875140250898e-05
29,lms,16,1e-05,0.4953484988530734,16.026186898156773,24.44787724663381,16.73895491123183,-0.0001,8.270790179570516e-05
30,lms,64,0.1,0.4953484988530734,13.677540929761369,25.00819434794871,14.054524083793648,-0.0008,0.000173220922257386
31,lms,64,0.01,0.4953484988530734,15.520450045433673,24.365247890311096,16.160121466274727,-0.0001,9.487712500142115e-05
32,lms,64,0.001,0.4953484988530734,15.783597905285738,24.444989667662547,16.450425873845038,-0.0001,8.792440753941443e-05
33,lms,64,0.0001,0.4953484988530734,15.99498866349533,24.47398626418652,16.69589897475913,-0.0001,8.341021032309999e-05
34,lms,64,1e-05,0.4953484988530734,16.025645244631345,24.451224552816154,16.7376884311193,-0.0001,8.271821573668835e-05
35,lms,128,0.1,0.4953484988530734,12.449624565803713,26.722200810613217,12.639117520917726,-0.0002,0.00027008690670424814
36,lms,128,0.01,0.4953484988530734,15.308903114607,25.133286101938168,15.81628393474627,-5e-05,0.00010282346138767168
37,lms,128,0.001,0.4953484988530734,15.710984825756992,24.424170075124643,16.370659580572962,-0.0001,8.95833998334174e-05
38,lms,128,0.0001,0.4953484988530734,15.97354685435078,24.46355320125421,16.672562433283776,-0.0001,8.38285494668811e-05
39,lms,128,1e-05,0.4953484988530734,16.023364824352427,24.450222471104887,16.73516792770376,-0.0001,8.276271104228262e-05
